Year,Disaster Type,Associated Dis,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Total Deaths
1902,Earthquake,Tsunami/Tidal wave,8,Richter,14,-91,2000
1906,Earthquake,Tsunami/Tidal wave,8,Richter,33.05,71.4,20000
1906,Earthquake,Tsunami/Tidal wave,9,Richter,1.51 N,78.46 W,400
1914,Earthquake,Tsunami/Tidal wave,8,Richter,-3.924,101.82,20
1918,Earthquake,Tsunami/Tidal wave,7,Richter,23.5,117,10000
1922,Earthquake,Tsunami/Tidal wave,9,Richter,-28.553,-70.755,1000
1927,Earthquake,Tsunami/Tidal wave,6,Richter,-0.842,120.764,50
1936,Earthquake,Tsunami/Tidal wave,7,Richter,6.1,94.7,9
1938,Earthquake,Tsunami/Tidal wave,8,Richter,-0.557,118.881,
1939,Earthquake,Tsunami/Tidal wave,8,Richter,-36.305,-72.315,30000
1939,Earthquake,Tsunami/Tidal wave,6,Richter,5.552,-0.628,22
1943,Earthquake,Tsunami/Tidal wave,8,Richter,-31.432,-71.475,12
1946,Earthquake,Tsunami/Tidal wave,8,Richter,-26.5,-70.5,2
1946,Earthquake,Tsunami/Tidal wave,8,Richter,19.25,-69,73
1949,Earthquake,Tsunami/Tidal wave,7,Richter,-38,-73.5,35
1949,Earthquake,Tsunami/Tidal wave,8,Richter,-54,-71,6
1953,Earthquake,Tsunami/Tidal wave,8,Richter,-37.093,-72.866,12
1953,Earthquake,Tsunami/Tidal wave,6,Richter,34.741,32.335,40
1953,Earthquake,Tsunami/Tidal wave,7,Richter,38.182,20.942,476
1954,Earthquake,Tsunami/Tidal wave,7,Richter,36.283,1.467,1250
1956,Earthquake,Tsunami/Tidal wave,8,Richter,36.664,25.957,53
1965,Earthquake,Tsunami/Tidal wave,8,Richter,-2.608,-125.952,71
1967,Earthquake,Tsunami/Tidal wave,6,Richter,-3.7,119.3,71
1968,Earthquake,Tsunami/Tidal wave,7,Richter,39.368,24.957,19
1971,Earthquake,Tsunami/Tidal wave,8,Richter,-32.601,-71.076,85
1977,Earthquake,Tsunami/Tidal wave,8,Richter,-11.164,118.378,185
1901,Earthquake,Tsunami/Tidal wave,8,Richter,40.5,142.5,18
1905,Earthquake,Tsunami/Tidal wave,7,Richter,37.4,142.6,41
1908,Earthquake,Tsunami/Tidal wave,7,Richter,38.17,15.58,75000
1912,Earthquake,Tsunami/Tidal wave,8,Richter,40.41,27.15,923
1918,Earthquake,Tsunami/Tidal wave,8,Richter,8.29,124.4,100
1918,Earthquake,Tsunami/Tidal wave,8,Richter,18.06,-67.54,116
1930,Earthquake,Tsunami/Tidal wave,8,Richter,17.86,96.43,500
1933,Earthquake,Tsunami/Tidal wave,6,Richter,33.62,117.97,116
1935,Earthquake,Tsunami/Tidal wave,8,Richter,29.5,66.8,60000
1939,Earthquake,Tsunami/Tidal wave,8,Richter,39.771,39.57,32962
1940,Earthquake,Tsunami/Tidal wave,8,Richter,-10.5,-77,179
1944,Earthquake,Tsunami/Tidal wave,8,Richter,33.682,36.204,1223
1945,Earthquake,Tsunami/Tidal wave,7,Richter,34.612,137.064,2306
1945,Earthquake,Tsunami/Tidal wave,8,Richter,24.927,63.601,4000
1946,Earthquake,Tsunami/Tidal wave,8,Richter,33.116,135.895,2000
1946,Earthquake,Tsunami/Tidal wave,9,Richter,53.492,-162.832,165
1951,Earthquake,Tsunami/Tidal wave,6,Richter,13,-87.5,500
1952,Earthquake,Tsunami/Tidal wave,8,Richter,42.084,143.899,33
1957,Earthquake,Tsunami/Tidal wave,8,Richter,16.5,-99.1,160
1959,Earthquake,Tsunami/Tidal wave,7,Richter,44.712,-111.215,28
1960,Earthquake,Tsunami/Tidal wave,,Richter,,,138
1960,Earthquake,Tsunami/Tidal wave,6,Richter,30.45,-9.62,12000
1960,Earthquake,Tsunami/Tidal wave,8,Richter,-15.75,-72.75,63
1960,Earthquake,Tsunami/Tidal wave,10,Richter,,,61
1964,Earthquake,Tsunami/Tidal wave,7,Richter,38.67,139.195,25
1964,Earthquake,Tsunami/Tidal wave,9,Richter,60.908,-147.339,131
1966,Earthquake,Tsunami/Tidal wave,8,Richter,-10.665,-78.228,120
1968,Earthquake,Tsunami/Tidal wave,7,Richter,40.5,140.43,47
1968,Earthquake,Tsunami/Tidal wave,6,Richter,15.5,-92.7,15
1968,Earthquake,Tsunami/Tidal wave,,Richter,16.316,122.067,271
1968,Earthquake,Tsunami/Tidal wave,7,Richter,41.86,32.463,24
1974,Earthquake,Tsunami/Tidal wave,7,Richter,34.522,138.74,30
1974,Earthquake,Tsunami/Tidal wave,6,Richter,35.1,72.9,4700
1974,Earthquake,Tsunami/Tidal wave,8,Richter,-12.265,-77.795,78
1976,Earthquake,Tsunami/Tidal wave,8,Richter,6.262,124.023,6000
1977,Earthquake,Tsunami/Tidal wave,7,Richter,-9.828,160.323,34
1978,Earthquake,Tsunami/Tidal wave,7,Richter,34.809,139.259,25
1950,Earthquake,Tsunami/Tidal wave,7,Richter,10.5,-68,100
1967,Earthquake,Tsunami/Tidal wave,7,Richter,10.559,-67.33,240
1979,Earthquake,Tsunami/Tidal wave,8,Richter,1.598,-79.358,579
1980,Earthquake,Tsunami/Tidal wave,7,Richter,36.195,1.354,2633
1979,Earthquake,Tsunami/Tidal wave,8,Richter,-1.679,136.04,2
1979,Earthquake,Tsunami/Tidal wave,,Richter,8.8,123.5,539
1982,Earthquake,Tsunami/Tidal wave,5,Richter,4.374,97.755,
1982,Earthquake,Tsunami/Tidal wave,7,Richter,42.158,142.361,110
1983,Earthquake,Tsunami/Tidal wave,8,Richter,40.462,139.102,102
1984,Earthquake,Tsunami/Tidal wave,7,Richter,32.50 N,130.42 E,
1979,Earthquake,Tsunami/Tidal wave,7,Richter,42.096,19.209,121
1989,Earthquake,Tsunami/Tidal wave,6,Richter,36.788,2.448,22
1991,Earthquake,Tsunami/Tidal wave,6,Richter,9.685 N,83.073 W,47
1990,Earthquake,Tsunami/Tidal wave,7,Richter,9.725,124.625,1
1992,Earthquake,Tsunami/Tidal wave,8,Richter,8.482 S,121.930 E,2500
1992,Earthquake,Tsunami/Tidal wave,7,Richter,11.742 N,87.340 W,179
1994,Earthquake,Tsunami/Tidal wave,7,Richter,10.20 S,13.2 E,239
1994,Earthquake,Tsunami/Tidal wave,6,Richter,1.14 S,128.5 E,1
1994,Earthquake,Tsunami/Tidal wave,8,Richter,45.10 N,147.51 E,5
1996,Earthquake,Tsunami/Tidal wave,7,Richter,0.729,119.931,9
1996,Earthquake,Tsunami/Tidal wave,8,Richter,1.1,137.15,166
1994,Earthquake,Tsunami/Tidal wave,8,Richter,45.10 N,147.51 E,11
1997,Earthquake,Tsunami/Tidal wave,8,Richter,-12.584,166.676,
1998,Earthquake,Tsunami/Tidal wave,8,Richter,-2.071,124.891,33
2000,Earthquake,Tsunami/Tidal wave,8,Richter,-1.105,123.573,45
2000,Earthquake,Tsunami/Tidal wave,8,Richter,-3.98,152.169,2
2002,Earthquake,Tsunami/Tidal wave,7,Richter,13.036,93.068,2
2001,Earthquake,Tsunami/Tidal wave,8,Richter,-16.265,-73.641,145
2002,Earthquake,Tsunami/Tidal wave,7,Richter,24.279,122.179,4
2002,Earthquake,Tsunami/Tidal wave,8,Richter,6.033,124.249,15
2002,Earthquake,Tsunami/Tidal wave,8,Richter,-3.302,142.945,4
2003,Earthquake,Tsunami/Tidal wave,7,Richter,36.964,3.634,2266
2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,165708
2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,1
2005,Earthquake,Tsunami/Tidal wave,9,Richter,2.085,97.108,915
2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,102
2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,80
2004,Earthquake,Tsunami/Tidal wave,9,Richter,3.295,95.982,8345
2006,Earthquake,Tsunami/Tidal wave,7,Richter,-3.595,127.214,3
2007,Earthquake,Tsunami/Tidal wave,7,Richter,37.336,136.588,1
2007,Earthquake,Tsunami/Tidal wave,6,Richter,-45.243,-72.648,10
2007,Earthquake,Tsunami/Tidal wave,8,Richter,-4.438,101.367,25
2007,Earthquake,Tsunami/Tidal wave,7,Richter,37.535,138.446,9
2007,Earthquake,Tsunami/Tidal wave,8,Richter,-13.386,-76.603,593
2007,Earthquake,Tsunami/Tidal wave,6,Richter,47.116,141.798,2
2009,Earthquake,Tsunami/Tidal wave,8,Richter,-15.489,-172.095,34
2010,Earthquake,Tsunami/Tidal wave,9,Richter,-36.122,-72.898,562
2010,Earthquake,Tsunami/Tidal wave,8,Richter,-3.487,100.082,530
2011,Earthquake,Tsunami/Tidal wave,9,Richter,38.297,142.373,1
2009,Earthquake,Tsunami/Tidal wave,6,Richter,34.743,138.264,1
2009,Earthquake,Tsunami/Tidal wave,8,Richter,-15.489,-172.095,9
2009,Earthquake,Tsunami/Tidal wave,8,Richter,-15.489,-172.095,148
2013,Earthquake,Tsunami/Tidal wave,8,Richter,-10.799,165.114,10
2015,Earthquake,Tsunami/Tidal wave,8,Richter,-31.5729,-71.6744,19
2017,Earthquake,Tsunami/Tidal wave,7,Richter,36.925,27.414,2
1909,Earthquake,Tsunami/Tidal wave,7,Richter,35.4,136.3,41
2016,Earthquake,Tsunami/Tidal wave,8,Richter,-42.725,173.064,2
2017,Earthquake,Tsunami/Tidal wave,8,Richter,15.022,-93.899,98
2018,Earthquake,Tsunami/Tidal wave,8,Richter,-178,119.84,4140
2018,Earthquake,Tsunami/Tidal wave,7,Richter,-8.287,116.452,564
2019,Earthquake,Tsunami/Tidal wave,7,Richter,-0.586,128.034,8
1951,Earthquake,Tsunami/Tidal wave,6,Richter,26.7,100,
1958,Earthquake,Tsunami/Tidal wave,8,Richter,1.5,-79.5,111
1969,Earthquake,Tsunami/Tidal wave,7,Richter,27.575,33.895,2
2016,Earthquake,Tsunami/Tidal wave,8,Richter,-10.676,161.33,
2017,Earthquake,Tsunami/Tidal wave,7,Richter,,,
1913,Earthquake,Tsunami/Tidal wave,8,Richter,5.354,126.121,138
1914,Earthquake,Tsunami/Tidal wave,6,Richter,38.8,20.6,14
1922,Earthquake,Tsunami/Tidal wave,8,Richter,24.5,122,5
1925,Earthquake,Tsunami/Tidal wave,7,Richter,9.782,123.064,17
1932,Earthquake,Tsunami/Tidal wave,7,Richter,40.5,23.9,151
1932,Earthquake,Tsunami/Tidal wave,,Richter,-3.57,128.35,
1932,Earthquake,Tsunami/Tidal wave,8,Richter,19.5,-104.25,400
1932,Earthquake,Tsunami/Tidal wave,7,Richter,19,-104.5,
1936,Earthquake,Tsunami/Tidal wave,8,Richter,4.5,126.5,
1937,Earthquake,Tsunami/Tidal wave,8,Richter,14.575,121.68,1
1939,Earthquake,Tsunami/Tidal wave,7,Richter,39.945,139.682,27
1942,Earthquake,Tsunami/Tidal wave,8,Richter,-14.819,-74.708,30
1947,Earthquake,Tsunami/Tidal wave,8,Richter,36.728,21.897,3
1948,Earthquake,Tsunami/Tidal wave,7,Richter,38.532,20.425,2
1955,Earthquake,Tsunami/Tidal wave,,Richter,39.4,23.1,8
1967,Earthquake,Tsunami/Tidal wave,7,Richter,5.121,96.286,14
1969,Earthquake,Tsunami/Tidal wave,8,Richter,36.033,-10.613,2
1973,Earthquake,Tsunami/Tidal wave,8,Richter,43.233,145.785,
2020,Earthquake,Tsunami/Tidal wave,6,Richter,17.935,-66.883,4
2021,Earthquake,Tsunami/Tidal wave,6,Richter,-3.593,129.503,
